--------------------------------------------------------------------------
[[14994,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.133733
[PI-INFO] Total time,0.133756
[PI-INFO] Total time,0.133778
[PI-INFO] Total time,0.133801
[PI-INFO] Total time,0.133823
[PI-INFO] Total time,0.133846
[PI-INFO] Total time,0.133871
[PI-INFO] Total time,0.133894
[PI-INFO] Total time,0.133916
[PI-INFO] Total time,0.133939
[PI-INFO] Total time,0.133962
[PI-INFO] Total time,0.133984
[PI-INFO] Total time,0.134007
[PI-INFO] Total time,0.134029
[PI-INFO] Total time,0.134054
[PI-INFO] Total time,0.134077
[PI-INFO] Total time,0.134099
[PI-INFO] Total time,0.134122
[PI-INFO] Total time,0.134144
[PI-INFO] Total time,0.134167
[PI-INFO] Total time,0.134190
[PI-INFO] Total time,0.134212
[PI-INFO] Total time,0.134237
[PI-INFO] Total time,0.134260
[PI-INFO] Total time,0.134282
[PI-INFO] Total time,0.134305
[PI-INFO] Total time,0.134327
[PI-INFO] Total time,0.134350
[PI-INFO] Total time,0.134372
[PI-INFO] Total time,0.134395
[PI-INFO] Total time,0.134421
[PI-INFO] Total time,0.134443
[PI-INFO] Total time,0.134466
[PI-INFO] Total time,0.134488
[PI-INFO] Total time,0.134511
[PI-INFO] Total time,0.134533
[PI-INFO] Total time,0.134556
[PI-INFO] Total time,0.134578
[PI-INFO] Total time,0.134603
[PI-INFO] Total time,0.134626
[PI-INFO] Total time,0.134648
[PI-INFO] Total time,0.134671
[PI-INFO] Total time,0.134693
[PI-INFO] Total time,0.134716
[PI-INFO] Total time,0.134738
[PI-INFO] Total time,0.134761
[PI-INFO] Total time,0.134786
[PI-INFO] Total time,0.134808
[PI-INFO] Total time,0.134831
[PI-INFO] Total time,0.134853
[PI-INFO] Total time,0.134876
[PI-INFO] Total time,0.133293
[PI-INFO] Total time,0.134911
[PI-INFO] Total time,0.134916
[PI-INFO] Total time,0.134917
[PI-INFO] Total time,0.134921
[PI-INFO] Total time,0.134925
[PI-INFO] Total time,0.134927
[PI-INFO] Total time,0.134931
[PI-INFO] Total time,0.134937
[PI-INFO] Total time,0.134941
[PI-INFO] Total time,0.134945
[PI-INFO] Total time,0.134949
[PI-INFO] Total time,0.134953
[PI-INFO] Total time,0.134957
[PI-INFO] Total time,0.134961
[PI-INFO] Total time,0.134966
[PI-INFO] Total time,0.134971
[PI-INFO] Total time,0.134975
[PI-INFO] Total time,0.134978
[PI-INFO] Total time,0.134982
[PI-INFO] Total time,0.134986
[PI-INFO] Total time,0.134989
[PI-INFO] Total time,0.134992
[PI-INFO] Total time,0.134997
[PI-INFO] Total time,0.135001
[PI-INFO] Total time,0.135006
[PI-INFO] Total time,0.135010
[PI-INFO] Total time,0.135015
[PI-INFO] Total time,0.135018
[PI-INFO] Total time,0.135022
[PI-INFO] Total time,0.135026
[PI-INFO] Total time,0.135029
[PI-INFO] Total time,0.135033
[PI-INFO] Total time,0.135037
[PI-INFO] Total time,0.135043
[PI-INFO] Total time,0.135045
[PI-INFO] Total time,0.135049
[PI-INFO] Total time,0.135053
[PI-INFO] Total time,0.135058
[PI-INFO] Total time,0.135062
[PI-INFO] Total time,0.135066
[PI-INFO] Total time,0.135070
[PI-INFO] Total time,0.135074
[PI-INFO] Total time,0.135079
