--------------------------------------------------------------------------
[[19547,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.136090
[PI-INFO] Total time,0.136094
[PI-INFO] Total time,0.136098
[PI-INFO] Total time,0.136102
[PI-INFO] Total time,0.136110
[PI-INFO] Total time,0.136114
[PI-INFO] Total time,0.136118
[PI-INFO] Total time,0.136123
[PI-INFO] Total time,0.136130
[PI-INFO] Total time,0.136134
[PI-INFO] Total time,0.136139
[PI-INFO] Total time,0.136143
[PI-INFO] Total time,0.136147
[PI-INFO] Total time,0.136152
[PI-INFO] Total time,0.136156
[PI-INFO] Total time,0.136160
[PI-INFO] Total time,0.136165
[PI-INFO] Total time,0.136169
[PI-INFO] Total time,0.136173
[PI-INFO] Total time,0.136178
[PI-INFO] Total time,0.136182
[PI-INFO] Total time,0.136186
[PI-INFO] Total time,0.136193
[PI-INFO] Total time,0.136198
[PI-INFO] Total time,0.136202
[PI-INFO] Total time,0.136206
[PI-INFO] Total time,0.136210
[PI-INFO] Total time,0.136215
[PI-INFO] Total time,0.136220
[PI-INFO] Total time,0.136224
[PI-INFO] Total time,0.136228
[PI-INFO] Total time,0.136232
[PI-INFO] Total time,0.136236
[PI-INFO] Total time,0.136240
[PI-INFO] Total time,0.136244
[PI-INFO] Total time,0.136248
[PI-INFO] Total time,0.136253
[PI-INFO] Total time,0.136257
[PI-INFO] Total time,0.136261
[PI-INFO] Total time,0.136267
[PI-INFO] Total time,0.136271
[PI-INFO] Total time,0.136275
[PI-INFO] Total time,0.136279
[PI-INFO] Total time,0.136283
[PI-INFO] Total time,0.136287
[PI-INFO] Total time,0.136291
[PI-INFO] Total time,0.136292
[PI-INFO] Total time,0.136297
[PI-INFO] Total time,0.136302
[PI-INFO] Total time,0.136306
[PI-INFO] Total time,0.136310
[PI-INFO] Total time,0.136343
[PI-INFO] Total time,0.136351
[PI-INFO] Total time,0.136355
[PI-INFO] Total time,0.136360
[PI-INFO] Total time,0.136364
[PI-INFO] Total time,0.136368
[PI-INFO] Total time,0.136373
[PI-INFO] Total time,0.136377
[PI-INFO] Total time,0.136381
[PI-INFO] Total time,0.136386
[PI-INFO] Total time,0.136390
[PI-INFO] Total time,0.136395
[PI-INFO] Total time,0.136399
[PI-INFO] Total time,0.136403
[PI-INFO] Total time,0.136407
[PI-INFO] Total time,0.136411
[PI-INFO] Total time,0.136415
[PI-INFO] Total time,0.136419
[PI-INFO] Total time,0.136424
[PI-INFO] Total time,0.136429
[PI-INFO] Total time,0.136434
[PI-INFO] Total time,0.136439
[PI-INFO] Total time,0.136443
[PI-INFO] Total time,0.136447
[PI-INFO] Total time,0.136450
[PI-INFO] Total time,0.136454
[PI-INFO] Total time,0.136458
[PI-INFO] Total time,0.136462
[PI-INFO] Total time,0.136467
[PI-INFO] Total time,0.136471
[PI-INFO] Total time,0.136476
[PI-INFO] Total time,0.136481
[PI-INFO] Total time,0.136485
[PI-INFO] Total time,0.136489
[PI-INFO] Total time,0.136493
[PI-INFO] Total time,0.136495
[PI-INFO] Total time,0.136498
[PI-INFO] Total time,0.136502
[PI-INFO] Total time,0.136506
[PI-INFO] Total time,0.136511
[PI-INFO] Total time,0.136516
[PI-INFO] Total time,0.136520
[PI-INFO] Total time,0.136524
[PI-INFO] Total time,0.136528
[PI-INFO] Total time,0.136532
[PI-INFO] Total time,0.136536
[PI-INFO] Total time,0.136540
[PI-INFO] Total time,0.136545
[PI-INFO] Total time,0.136553
[PI-INFO] Total time,0.136558
[PI-INFO] Total time,0.136562
[PI-INFO] Total time,0.136566
[PI-INFO] Total time,0.136571
[PI-INFO] Total time,0.136575
[PI-INFO] Total time,0.136579
[PI-INFO] Total time,0.136588
[PI-INFO] Total time,0.136594
[PI-INFO] Total time,0.136598
[PI-INFO] Total time,0.136603
[PI-INFO] Total time,0.136607
[PI-INFO] Total time,0.136611
[PI-INFO] Total time,0.136615
[PI-INFO] Total time,0.136619
[PI-INFO] Total time,0.136621
[PI-INFO] Total time,0.136624
[PI-INFO] Total time,0.136628
[PI-INFO] Total time,0.136632
[PI-INFO] Total time,0.136636
[PI-INFO] Total time,0.136641
[PI-INFO] Total time,0.136645
[PI-INFO] Total time,0.136649
[PI-INFO] Total time,0.136653
[PI-INFO] Total time,0.136657
[PI-INFO] Total time,0.136661
[PI-INFO] Total time,0.136665
[PI-INFO] Total time,0.136669
[PI-INFO] Total time,0.136678
[PI-INFO] Total time,0.136682
[PI-INFO] Total time,0.136691
[PI-INFO] Total time,0.136697
[PI-INFO] Total time,0.136701
[PI-INFO] Total time,0.136706
[PI-INFO] Total time,0.136719
[PI-INFO] Total time,0.136724
[PI-INFO] Total time,0.136344
[PI-INFO] Total time,0.136771
[PI-INFO] Total time,0.136794
[PI-INFO] Total time,0.136816
[PI-INFO] Total time,0.136839
[PI-INFO] Total time,0.136861
[PI-INFO] Total time,0.136885
[PI-INFO] Total time,0.136907
[PI-INFO] Total time,0.136932
[PI-INFO] Total time,0.136955
[PI-INFO] Total time,0.136978
[PI-INFO] Total time,0.137000
[PI-INFO] Total time,0.137022
[PI-INFO] Total time,0.137045
[PI-INFO] Total time,0.137067
[PI-INFO] Total time,0.137090
[PI-INFO] Total time,0.137115
[PI-INFO] Total time,0.137138
[PI-INFO] Total time,0.137160
[PI-INFO] Total time,0.137183
[PI-INFO] Total time,0.137205
[PI-INFO] Total time,0.137227
[PI-INFO] Total time,0.137250
[PI-INFO] Total time,0.137273
[PI-INFO] Total time,0.137297
[PI-INFO] Total time,0.137320
[PI-INFO] Total time,0.137343
[PI-INFO] Total time,0.137365
[PI-INFO] Total time,0.137388
[PI-INFO] Total time,0.137410
