[ip-172-31-5-71:32512] plm:rsh: Warning: setpgid(32539,32539) failed in parent with errno=Permission denied(13)
--------------------------------------------------------------------------
[[28946,1],18]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-12-93

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
# MPI Nearest Neighbor Communication
# Info:
# Processor Grid:              32 x       1 x       1
# Data Grid (per rank):       100 x     100 x     100
# Iterations:             10000000
# Variables:                    1
# Sleep:                     1000
[PI-INFO] Init time,23,0.129141
[PI-INFO] Init time,29,0.129686
[PI-INFO] Init time,24,0.130156
[PI-INFO] Init time,15,0.129046
[PI-INFO] Init time,26,0.129021
[PI-INFO] Init time,0,0.117662
[PI-INFO] Init time,18,0.129257
[PI-INFO] Init time,11,0.129717
[PI-INFO] Init time,10,0.129297
[PI-INFO] Init time,20,0.130123
[PI-INFO] Init time,9,0.129265
[PI-INFO] Init time,6,0.129406
[PI-INFO] Init time,7,0.129460
[PI-INFO] Init time,8,0.129450
[PI-INFO] Init time,1,0.128179
[PI-INFO] Init time,3,0.130220
[PI-INFO] Init time,12,0.128629
[PI-INFO] Init time,16,0.128926
[PI-INFO] Init time,19,0.129108
[PI-INFO] Init time,22,0.129441
[PI-INFO] Init time,4,0.129529
[PI-INFO] Init time,13,0.128646
[PI-INFO] Init time,21,0.128578
[PI-INFO] Init time,30,0.129052
[PI-INFO] Init time,31,0.128823
[PI-INFO] Init time,27,0.129264
[PI-INFO] Init time,28,0.128834
[PI-INFO] Init time,14,0.128461
[PI-INFO] Init time,5,0.128061
[PI-INFO] Init time,2,0.128410
[PI-INFO] Init time,17,0.128315
[PI-INFO] Init time,25,0.128325
[PI-INFO] Paramount Iteration,31,1,0.129506,0.000683
[PI-INFO] Paramount Iteration,0,1,0.118379,0.000717
[PI-INFO] Paramount Iteration,16,1,0.129790,0.000864
[PI-INFO] Paramount Iteration,27,1,0.130124,0.000861
[PI-INFO] Paramount Iteration,20,1,0.131003,0.000880
[PI-INFO] Paramount Iteration,19,1,0.129983,0.000876
[PI-INFO] Paramount Iteration,21,1,0.129476,0.000899
[PI-INFO] Paramount Iteration,24,1,0.131094,0.000938
[PI-INFO] Paramount Iteration,30,1,0.129945,0.000894
[PI-INFO] Paramount Iteration,15,1,0.129930,0.000884
[PI-INFO] Paramount Iteration,26,1,0.129923,0.000902
[PI-INFO] Paramount Iteration,28,1,0.129701,0.000868
[PI-INFO] Paramount Iteration,14,1,0.129380,0.000919
[PI-INFO] Paramount Iteration,5,1,0.128960,0.000899
[PI-INFO] Paramount Iteration,17,1,0.129246,0.000931
[PI-INFO] Paramount Iteration,25,1,0.129223,0.000898
[PI-INFO] Paramount Iteration,18,1,0.130248,0.000991
[PI-INFO] Paramount Iteration,11,1,0.130640,0.000923
[PI-INFO] Paramount Iteration,10,1,0.130223,0.000926
[PI-INFO] Paramount Iteration,9,1,0.130199,0.000934
[PI-INFO] Paramount Iteration,6,1,0.130293,0.000888
[PI-INFO] Paramount Iteration,7,1,0.130407,0.000948
[PI-INFO] Paramount Iteration,8,1,0.130366,0.000916
[PI-INFO] Paramount Iteration,1,1,0.129121,0.000942
[PI-INFO] Paramount Iteration,3,1,0.131157,0.000937
[PI-INFO] Paramount Iteration,12,1,0.129501,0.000872
[PI-INFO] Paramount Iteration,23,1,0.130082,0.000942
[PI-INFO] Paramount Iteration,29,1,0.130608,0.000922
[PI-INFO] Paramount Iteration,22,1,0.130405,0.000965
[PI-INFO] Paramount Iteration,4,1,0.130455,0.000926
[PI-INFO] Paramount Iteration,13,1,0.129524,0.000878
[PI-INFO] Paramount Iteration,30,2,0.130264,0.000319
[PI-INFO] Paramount Iteration,26,2,0.130246,0.000323
