--------------------------------------------------------------------------
[[15255,1],0]: A high-performance Open MPI point-to-point messaging module
was unable to find any relevant network interfaces:

Module: OpenFabrics (openib)
  Host: ip-172-31-3-141

Another transport will be used instead, although this may result in
lower performance.

NOTE: You can disable this warning by setting the MCA parameter
btl_base_warn_component_unused to 0.
--------------------------------------------------------------------------
Running with these driver parameters:
  solver ID    = 3

  Laplacian_27pt:
    (Nx, Ny, Nz) = (10, 20, 10)
    (Px, Py, Pz) = (1, 2, 1)

[PI-INFO] Total time,0.133845
[PI-INFO] Total time,0.133867
[PI-INFO] Total time,0.133889
[PI-INFO] Total time,0.133914
[PI-INFO] Total time,0.133937
[PI-INFO] Total time,0.133959
[PI-INFO] Total time,0.133982
[PI-INFO] Total time,0.134004
[PI-INFO] Total time,0.134026
[PI-INFO] Total time,0.134048
[PI-INFO] Total time,0.134071
[PI-INFO] Total time,0.134095
[PI-INFO] Total time,0.134118
[PI-INFO] Total time,0.134140
[PI-INFO] Total time,0.134163
[PI-INFO] Total time,0.134185
[PI-INFO] Total time,0.134207
[PI-INFO] Total time,0.134230
[PI-INFO] Total time,0.134252
[PI-INFO] Total time,0.134277
[PI-INFO] Total time,0.134299
[PI-INFO] Total time,0.134321
[PI-INFO] Total time,0.134344
[PI-INFO] Total time,0.134366
[PI-INFO] Total time,0.134388
[PI-INFO] Total time,0.134410
[PI-INFO] Total time,0.134433
[PI-INFO] Total time,0.134458
[PI-INFO] Total time,0.134480
[PI-INFO] Total time,0.134503
[PI-INFO] Total time,0.134525
[PI-INFO] Total time,0.134547
[PI-INFO] Total time,0.134570
[PI-INFO] Total time,0.134592
[PI-INFO] Total time,0.134614
[PI-INFO] Total time,0.134639
[PI-INFO] Total time,0.134661
[PI-INFO] Total time,0.134684
[PI-INFO] Total time,0.134706
[PI-INFO] Total time,0.134728
[PI-INFO] Total time,0.134750
[PI-INFO] Total time,0.134772
[PI-INFO] Total time,0.134795
[PI-INFO] Total time,0.134820
[PI-INFO] Total time,0.134842
[PI-INFO] Total time,0.134864
[PI-INFO] Total time,0.134887
[PI-INFO] Total time,0.134909
[PI-INFO] Total time,0.134931
[PI-INFO] Total time,0.134953
[PI-INFO] Total time,0.134976
[PI-INFO] Total time,0.133405
[PI-INFO] Total time,0.135012
[PI-INFO] Total time,0.135017
[PI-INFO] Total time,0.135022
[PI-INFO] Total time,0.135026
[PI-INFO] Total time,0.135030
[PI-INFO] Total time,0.135032
[PI-INFO] Total time,0.135035
[PI-INFO] Total time,0.135039
[PI-INFO] Total time,0.135043
[PI-INFO] Total time,0.135048
[PI-INFO] Total time,0.135053
[PI-INFO] Total time,0.135057
[PI-INFO] Total time,0.135061
[PI-INFO] Total time,0.135065
[PI-INFO] Total time,0.135069
[PI-INFO] Total time,0.135073
[PI-INFO] Total time,0.135077
[PI-INFO] Total time,0.135082
[PI-INFO] Total time,0.135089
[PI-INFO] Total time,0.135094
[PI-INFO] Total time,0.135098
[PI-INFO] Total time,0.135103
[PI-INFO] Total time,0.135107
[PI-INFO] Total time,0.135111
[PI-INFO] Total time,0.135116
[PI-INFO] Total time,0.135120
[PI-INFO] Total time,0.135125
[PI-INFO] Total time,0.135129
[PI-INFO] Total time,0.135133
[PI-INFO] Total time,0.135137
[PI-INFO] Total time,0.135141
[PI-INFO] Total time,0.135146
[PI-INFO] Total time,0.135150
[PI-INFO] Total time,0.135158
[PI-INFO] Total time,0.135163
[PI-INFO] Total time,0.135168
[PI-INFO] Total time,0.135173
[PI-INFO] Total time,0.135177
[PI-INFO] Total time,0.135181
[PI-INFO] Total time,0.135186
[PI-INFO] Total time,0.135190
[PI-INFO] Total time,0.135197
[PI-INFO] Total time,0.135202
[PI-INFO] Total time,0.135207
[PI-INFO] Total time,0.135211
[PI-INFO] Total time,0.135215
[PI-INFO] Total time,0.135219
[PI-INFO] Total time,0.135223
[PI-INFO] Total time,0.135224
[PI-INFO] Total time,0.135228
[PI-INFO] Total time,0.135232
[PI-INFO] Total time,0.135236
[PI-INFO] Total time,0.135242
[PI-INFO] Total time,0.135246
[PI-INFO] Total time,0.135250
[PI-INFO] Total time,0.135254
[PI-INFO] Total time,0.135258
[PI-INFO] Total time,0.135262
[PI-INFO] Total time,0.135266
[PI-INFO] Total time,0.135271
[PI-INFO] Total time,0.135278
[PI-INFO] Total time,0.135282
[PI-INFO] Total time,0.135286
[PI-INFO] Total time,0.135291
[PI-INFO] Total time,0.135302
[PI-INFO] Total time,0.135309
[PI-INFO] Total time,0.135313
[PI-INFO] Total time,0.135317
[PI-INFO] Total time,0.135322
[PI-INFO] Total time,0.135326
[PI-INFO] Total time,0.135334
[PI-INFO] Total time,0.135338
[PI-INFO] Total time,0.135343
[PI-INFO] Total time,0.135347
[PI-INFO] Total time,0.135354
[PI-INFO] Total time,0.135358
[PI-INFO] Total time,0.135363
[PI-INFO] Total time,0.135367
[PI-INFO] Total time,0.135371
[PI-INFO] Total time,0.135375
[PI-INFO] Total time,0.135379
[PI-INFO] Total time,0.135383
[PI-INFO] Total time,0.135387
[PI-INFO] Total time,0.135420
[PI-INFO] Total time,0.135425
[PI-INFO] Total time,0.135427
[PI-INFO] Total time,0.135428
[PI-INFO] Total time,0.135430
[PI-INFO] Total time,0.135451
[PI-INFO] Total time,0.135474
[PI-INFO] Total time,0.135496
[PI-INFO] Total time,0.135519
[PI-INFO] Total time,0.135542
[PI-INFO] Total time,0.135565
[PI-INFO] Total time,0.135590
[PI-INFO] Total time,0.135612
[PI-INFO] Total time,0.135635
[PI-INFO] Total time,0.135658
[PI-INFO] Total time,0.135680
[PI-INFO] Total time,0.135703
[PI-INFO] Total time,0.135725
[PI-INFO] Total time,0.135748
[PI-INFO] Total time,0.135773
[PI-INFO] Total time,0.135795
[PI-INFO] Total time,0.135818
[PI-INFO] Total time,0.135840
[PI-INFO] Total time,0.135862
[PI-INFO] Total time,0.135885
[PI-INFO] Total time,0.135907
[PI-INFO] Total time,0.135930
[PI-INFO] Total time,0.135955
[PI-INFO] Total time,0.135977
[PI-INFO] Total time,0.136000
[PI-INFO] Total time,0.136022
[PI-INFO] Total time,0.136045
[PI-INFO] Total time,0.136068
[PI-INFO] Total time,0.136090
[PI-INFO] Total time,0.136113
[PI-INFO] Total time,0.136138
[PI-INFO] Total time,0.136161
[PI-INFO] Total time,0.136183
[PI-INFO] Total time,0.136206
[PI-INFO] Total time,0.136228
[PI-INFO] Total time,0.136251
[PI-INFO] Total time,0.136273
[PI-INFO] Total time,0.136296
[PI-INFO] Total time,0.136321
[PI-INFO] Total time,0.136343
[PI-INFO] Total time,0.136366
[PI-INFO] Total time,0.136388
[PI-INFO] Total time,0.136411
[PI-INFO] Total time,0.136433
[PI-INFO] Total time,0.136456
[PI-INFO] Total time,0.136478
[PI-INFO] Total time,0.136503
[PI-INFO] Total time,0.136526
[PI-INFO] Total time,0.136548
[PI-INFO] Total time,0.136571
[PI-INFO] Total time,0.136593
[PI-INFO] Total time,0.136616
[PI-INFO] Total time,0.136639
[PI-INFO] Total time,0.136661
[PI-INFO] Total time,0.136686
[PI-INFO] Total time,0.136709
[PI-INFO] Total time,0.136731
[PI-INFO] Total time,0.136754
[PI-INFO] Total time,0.136776
[PI-INFO] Total time,0.136799
[PI-INFO] Total time,0.136821
[PI-INFO] Total time,0.136844
[PI-INFO] Total time,0.136869
[PI-INFO] Total time,0.136891
[PI-INFO] Total time,0.136914
[PI-INFO] Total time,0.136936
[PI-INFO] Total time,0.136958
[PI-INFO] Total time,0.136981
[PI-INFO] Total time,0.137004
[PI-INFO] Total time,0.137026
[PI-INFO] Total time,0.137052
[PI-INFO] Total time,0.137074
[PI-INFO] Total time,0.137097
[PI-INFO] Total time,0.137119
[PI-INFO] Total time,0.137142
[PI-INFO] Total time,0.137168
[PI-INFO] Total time,0.137190
[PI-INFO] Total time,0.137213
[PI-INFO] Total time,0.137237
[PI-INFO] Total time,0.135420
[PI-INFO] Total time,0.137273
[PI-INFO] Total time,0.137282
[PI-INFO] Total time,0.137286
[PI-INFO] Total time,0.137288
[PI-INFO] Total time,0.137291
[PI-INFO] Total time,0.137296
[PI-INFO] Total time,0.137301
[PI-INFO] Total time,0.137305
[PI-INFO] Total time,0.137310
[PI-INFO] Total time,0.137314
[PI-INFO] Total time,0.137318
[PI-INFO] Total time,0.137322
[PI-INFO] Total time,0.137326
[PI-INFO] Total time,0.137330
[PI-INFO] Total time,0.137335
[PI-INFO] Total time,0.137343
[PI-INFO] Total time,0.137348
[PI-INFO] Total time,0.137353
[PI-INFO] Total time,0.137357
[PI-INFO] Total time,0.137361
[PI-INFO] Total time,0.137366
[PI-INFO] Total time,0.137370
[PI-INFO] Total time,0.137374
[PI-INFO] Total time,0.137379
[PI-INFO] Total time,0.137383
[PI-INFO] Total time,0.137397
[PI-INFO] Total time,0.137402
[PI-INFO] Total time,0.137406
[PI-INFO] Total time,0.137410
[PI-INFO] Total time,0.137415
[PI-INFO] Total time,0.137419
[PI-INFO] Total time,0.137426
[PI-INFO] Total time,0.137430
[PI-INFO] Total time,0.137435
[PI-INFO] Total time,0.137439
[PI-INFO] Total time,0.137443
[PI-INFO] Total time,0.137448
[PI-INFO] Total time,0.137455
[PI-INFO] Total time,0.137459
[PI-INFO] Total time,0.137464
[PI-INFO] Total time,0.137468
[PI-INFO] Total time,0.137472
[PI-INFO] Total time,0.137477
[PI-INFO] Total time,0.137482
[PI-INFO] Total time,0.137486
[PI-INFO] Total time,0.137490
[PI-INFO] Total time,0.137494
[PI-INFO] Total time,0.137497
